name,milk,crust,origin,pairings,similarities,visual,smell,taste,touch
Buronoix,Vache,Pressée non cuite,Auvergne_Rhône-Alpes,Le Buronoix s’accompagne d’un vin rouge léger et fruité.,"['Raclette Fumée', 'Tête de Moine entière', 'Tomme de Yenne', 'Salers AOP']", croûte fleurie, légère odeur de champignon, Saveur de noisette, Pâte souple
Cabécou,Chèvre,Molle à croûte naturelle,Occitanie,Le cabécou s’accompagne d’un vin blanc tel qu’un Bergerac.,"['Bethmale', 'Bouton de Culotte fermier', 'Bleu de Chèvre', 'Selles-sur-cher AOP fermier']"," Croûte jaune pâle, uniforme et fine", odeur caprine, plutôt doux, pâte onctueuse et ferme à la fois
Cabréra,Chèvre,Pressée non cuite,Nouvelle Aquitaine ,"Cette tomme de chèvre s’accompagne merveilleusement bien avec un vin blanc du Languedoc-Roussillon, fruité et sec.","['Bleu de Chèvre', 'Crottin de Chavignol AOP', 'Bouton de Culotte fermier', 'Raclette Fumée']", Couleur jaune pâle, Arôme fruité, goût caprin, pâte souple
Cabri au sel de Guérande et aux aromates,Chèvre,Molle à croûte naturelle,Nouvelle Aquitaine ,"Le Cabri s’accompagne bien sûr d’un vin blanc sec, tel qu’un Arbois. Ou si vous préférez le vin rouge, un Anjou.","['Pouligny-Saint-Pierre AOP fermier', 'Buchette de Chèvre cendrée', 'Calisson cendré de chèvre', 'Sainte-Maure de Touraine AOP']", croûte fine, caprin," Délicate saveur caprine autour du thym, de la sarrette, du romarin, de marjolaine, de sauge, de basilic…"," Pâte souple, tendre et homogène"
Cabri Sel Fou,Chèvre,Molle à croûte naturelle,Nouvelle Aquitaine ,"Le Pitchou s’accompagne d’un vin blanc sec, tel qu’un Valençay blanc, ou un vin rouge léger. ","['Bouton de Culotte fermier', 'Saint-Félicien fermier', 'Tomme de Brebis des Pyrénées', 'Rocamadour AOP Fermier']", croûte finement salée au sel Fou, caprin, Gout épicé et fromage puissant avec l’affinage," Pâte souple, tendre et homogène"
Cabrissoux,Chèvre,Molle à croûte naturelle,Nouvelle Aquitaine ,Le cabrissoux s’accompagne d’un vin blanc tel qu’un Sauvignon de Touraine ou un Entre-Deux-Mers.,"['Valençay AOP fermier', 'Pouligny-Saint-Pierre AOP fermier', 'Bleu de Chèvre', 'Sainte-Maure de Touraine AOP']", Croûte finement salée, Odeur de noisette," Gout caprin prononcé, en fonction de son degré d’affinement.", pâte souple et tendre
Calisson cendré,Chèvre,Molle à croûte naturelle,Occitanie ,"Avec son goût légèrement acide, bien choisir le vin qui accompagne le Calisson cendré peut être délicat. Dans ce cas, le <span data-sheets-userformat='{""2"":14845,""3"":{""1"":0,""3"":1},""5"":{""1"":{""1"":2,""2"":0,""5"":{""1"":2,""2"":0}},{""1"":0,""2"":0,""3"":3},{""1"":1,""2"":0,""4"":1}},""6"":{""1"":{""1"":2,""2"":0,""5"":{""1"":2,""2"":0}},{""1"":0,""2"":0,""3"":3},{""1"":1,""2"":0,""4"":1}},""7"":{""1"":{""1"":2,""2"":0,""5"":{""1"":2,""2"":0}},{""1"":0,""2"":0,""3"":3},{""1"":1,""2"":0,""4"":1}},""8"":{""1"":{""1"":2,""2"":0,""5"":{""1"":2,""2"":0}},{""1"":0,""2"":0,""3"":3},{""1"":1,""2"":0,""4"":1}},""9"":1,""10"":1,""11"":4,""14"":{""1"":2,""2"":0},""15"":""Calibri"",""16"":12}' data-sheets-value='{""1"":2,""2"":""Sancerre blanc sec""}'>Sancerre blanc sec reste le meilleur choix. L’arôme qui tend légèrement vers les fines herbes de ce fromage se mariera parfaitement avec les caractéristiques de ce vin tranquille.</span>","['Selles-sur-cher AOP fermier', 'Sainte-Maure de Touraine AOP', 'Bouton de Culotte fermier', 'Valençay AOP fermier']", Pâte crémeuse légèrement acide avec un cœur blanc et crayeux.,, Légères saveurs d’herbes aromatiques., Pâte molle à croûte naturelle.
Camembert de Normandie AOP,Vache,Molle à croûte fleurie,Normandie ,"Le Camembert de Normandie se déguste surtout en fin de repas, mais il s’apprécie aussi en croquettes, en canapés, rôti ou au barbecue. Le pain brié est un accompagnement idéal pour révéler toute la saveur du camembert, lui aussi provenant de la région normande. Sinon, le pain d’épices se mariera parfaitement avec le fromage, même en guise d’apéritifs., De nombreux vins rouges peuvent l’accompagner comme la Vallée de la Loire, le Bordelais, la Vallée du Rhône, le Beaujolais, les Côtes-du-Rhône ou la Touraine. Mais pourquoi ne pas le marier avec un bon cidre de la région, comme le cidre AOC du Pays d’Auge ? La saveur de la pomme saura se contraster avec le petit goût amer du camembert, ce qui apportera un équilibre du gras.","['Pont l’Evêque AOP entier', 'Brie de Meaux fermier AOP', 'Coulommiers entier fermier', 'Neufchâtel AOP']","  Forme régulière, surface striée, croûte duvetée de blanc, parfois pigmentée de rouge ; Pâte blanche à jaune clair","  Parfum de terroir avec du bouquet, terre humide", Saveur fruitée prononcée," Pâte souple sans mollesse, non coulante"
Cancoillotte à l’ail,Vache,fondue,Bourgogne - Franche-Comté ,"La Cancoillotte à l’ail se marie bien avec du vin blanc sec comme le vin de Savoie Apremont. Elle s’accorde également avec L’Étoile Blanc, un Seyssel ou un Arbois blanc. Si vous avez une préférence pour le vin rouge, vous pouvez accorder ce fromage avec un Arbois, un Bugey Manicle rouge, un Chiroubles rouge ou un Côtes-du-Jura rouge.","['Camembert de Normandie AOP', 'Bethmale', 'Reblochon Fermier AOP entier', 'Tomme Ail des Ours']",,," caractéristique du beurre, avec un arrière-goût en bouche de lait fermenté et d’ail. A chaud, elle devient plus “fruitée”", Crémeux et onctueux
Cantal AOP,Vache,Pressée non cuite,Auvergne_Rhône-Alpes ,"Pour mieux savourer le Cantal, accompagnez-le avec du vin rouge comme le :, Les amateurs de bière blonde et brune pourront aussi déguster leur boisson préférée avec ce fromage., Et enfin, si vous préférez le champagne, sachez que le Cantal peut s’accompagner d’un champagne rosé, brut ou bien demi-sec.","['Tomme de Yenne', 'Tomme de Tarentaise fermière', 'Tome des Bauges AOP', 'Tomme d’Auvergne Mitée']"," croûte gris clair pour le Cantal jeune, et boutonnée d’or pour le Cantal entre deux ; dans les deux cas, la pâte est fine et de couleur ivoire.", odeur légèrement lactique., Fine saveur de noisette, consistance souple et ferme.
Carré blanc,Chèvre,Molle à croûte fleurie,Centre-Val de Loire ,Le Carré Blanc s’accompagne d’un Sancerre Blanc ou un Touraine Rouge.,"['Sainte-Maure de Touraine AOP', 'Mothais sur feuille fermier', 'Valençay AOP fermier', 'Saint Marcellin fermier IGP']", Croûte naturelle blanche, Noisette, Saveur légèrement noisetée avec une pointe de sel, Texture moelleuse
Carré du Vinage,Vache,Molle à croûte lavée,Hauts-de-France ,"Le carré du Vinage s’associe merveilleusement bien avec une bière blonde du Nord. Il se fera également remarqué sur un plateau de Fromage. Jeune, il est crémeux et doux, un peu plus affiné il garde sa belle onctuosité mais avec une puissance en bouche.","['Pont l’Evêque AOP entier', 'Bethmale', 'Tome des Bauges AOP', 'Bergues au torchon fermier']", croûte sèche légèrement orangée, Odeur puissante, Gout typé et belle onctuosité, Texture crémeuse
Carré Le Saulnois,Vache,Molle à croûte fleurie,Grand Est ,A déguster avec un vin rouge tel qu’un Valençay.,"['Brie de Meaux fermier AOP', 'Coulommiers entier fermier', 'Neufchâtel AOP', 'Camembert de Normandie AOP']", croûte fleurie blanche, Odeur de noix, Saveur de noisette, Texture très crémeuse
Chabis blanc ou cendré,Chèvre,Molle à croûte naturelle,Nouvelle Aquitaine ,"Le chabis cendré ou blanc s’accompagne d’un vin blanc, tel qu’un Pouilly-Fumé ou un Sancerre en fonction de vos préférences.","['Buchette de Chèvre cendrée', 'Bouton de Culotte fermier', 'Pouligny-Saint-Pierre AOP fermier', 'Selles-sur-cher AOP fermier']", croûte grise ou blanche, Odeur de sous-bois, quelques notes caprines, onctueux
Carré Mirabelle,Vache,Molle à croûte lavée,Grand Est ,Ce fromage se marrie parfaitement avec une bière brune.,"['Saint-Félicien fermier', 'Camembert de Normandie AOP', 'Tête de Moine entière', 'Brillat-Savarin IGP']",,,,
Chabichou du Poitou,Chèvre,Molle à croûte naturelle,Nouvelle Aquitaine ,"Pour faire ressortir le gout prononcé de chèvre de ce fameux fromage, il vous faudra trouver le meilleur accord ! Le Chabichou du Poitou se marie très bien avec du vin rouge ou du vin blanc sec. Vous pouvez ainsi opter pour un Quincy ou encore pour un Cour-Cheverny.","['Pouligny-Saint-Pierre AOP fermier', 'Mothais sur feuille fermier', 'Selles-sur-cher AOP fermier', 'Valençay AOP fermier']", Croûte fine et vermiculée, Note de fruits secs quand il es très affiné, pâte fondante," Frais, demi-sec ou très sec "
Chabis du Béarn,Chèvre,Molle à croûte naturelle,Nouvelle Aquitaine ,"Le Crottin des Pyrénées s’accompagne d’un Vin blanc, comme un Pouilly fumé ou un St-Véran blancs.","['Selles-sur-cher AOP fermier', 'Saint Marcellin fermier IGP', 'Bouton de Culotte fermier', 'Buchette de Chèvre cendrée']", Croûte à fleur bleue ou blanche, Odeur de sous-bois," Saveur de chèvre très caractéristique, un peu salé", Texture ferme et moelleuse
Chaource fermier AOP,Vache,Molle à croûte fleurie,"Bourgogne - Franche-Comté, Grand Est ","Le Chaource se consomme à tout moment de la journée. Il se marie avec les vins de la région, comme le rosé des Riceys ou un vin blanc de Chablis. Il est aussi très bon en apéritif, découpé en cubes, accompagné d’un Porto ou d’un Champagne., Si vous avez une préférence pour le vin rouge, un Saumur rouge, un Saumur-Champigny, un Moulin-à-Vent ou encore un Fronsac feront plus que titiller vos papilles.","['Tome des Bauges AOP', 'Munster fermier AOP 1/2', 'Bleu de Gex AOP', 'Herve à la Bière']"," Croûte à fleur blanche, riche et régulière, à légère pigmentation rougeâtre ; pâte fine et lisse d’un blanc homogène.", Légère odeur de champignon et de crème," Saveur douce, fruitée et noiseté, relevé par une petite pointe d’acidité"," Pâte onctueuse, souple sans mollesse."
Charolais AOP,Chèvre,Molle à croûte naturelle,Auvergne_Rhône-Alpes ,"Le Charolais se déguste avec un vin blanc de Bourgogne, un Rully blanc, Macôn-villages ou un Chablis. Ou alors un vin rouge fruité tel qu’un beaujolais, un Touraine ou un Anjou.","['Raclette Fumée', 'Mothais sur feuille fermier', 'Buchette de Chèvre cendrée', 'Reblochon Fermier AOP entier']",croûte légèrement duvetée,"Arômes de végétaux, d’herbes, de foin et de paille fraîche, puis de sous-bois avec l’affinage", fondant avec un gout de champignon et de beurre, Texture sèche et cassante
Chartreux,Vache,Pressée non cuite,Auvergne_Rhône-Alpes ,Le Chartreux se marie parfaitement à un vin rouge de Savoie tel qu’un Chignin ou même une bière de Savoie ambrée. ,"['Tomme Ail des Ours', 'Tomme de Brebis des Pyrénées', 'Saint Marcellin fermier IGP', 'Tomme de Tarentaise fermière']"," croûte lisse, de couleur orange-marron", Odeur assez puissante avec des parfums fruités, fondant en bouche. Gout franc et fruité," Texture ferme mais souple, avec une croûte légèrement collante"
Château Noir roulé dans la cendre,Vache,Pressée non cuite,Auvergne_Rhône-Alpes ,"La Tomme Château Noir roulé dans la cendre s’accompagne d’un vin rouge de Savoie, tel qu’une Mondeuse noire.","['Gouda au Cumin Fermier', 'Saint-Félicien fermier', 'Saint Marcellin fermier IGP', 'Salers AOP']", croûte noir-gris et pâte crème, odeur de lait frais," doux mais gouteux, avec une légère amertume en fin de bouche.", souple
Cheddar,Vache,Pressée non cuite,Royaume-Uni ,"Le cheddar se consomme en fin des repas, comme cuisiné. Il se marie parfaitement aux vins Rouge comme un Shiraz Rouge d’Australie, ou un Porto portugais.","['Cheddar Extra-Mature', 'St-Nectaire Fermier AOP', 'Camembert de Normandie AOP', 'Tomme de Yenne']", Jaune or, Odeur bouquetée légère, Saveur prononcée faiblement relevée, Texture ferme et friable
Cheddar Extra-Mature,Vache,Pressée non cuite,Royaume-Uni ,"Pour mieux apprécier le goût prononcé de l’Extra-Mature Cheddar, il convient de l’accompagner d’un vin rouge sec léger en fin de repas ou en apéritif. En ce sens, ce fromage se marie à merveille avec le <span data-sheets-userformat='{""2"":12797,""3"":{""1"":0,""3"":1},""5"":{""1"":{""1"":2,""2"":0,""5"":{""1"":2,""2"":0}},{""1"":0,""2"":0,""3"":3},{""1"":1,""2"":0,""4"":1}},""6"":{""1"":{""1"":2,""2"":0,""5"":{""1"":2,""2"":0}},{""1"":0,""2"":0,""3"":3},{""1"":1,""2"":0,""4"":1}},""7"":{""1"":{""1"":2,""2"":0,""5"":{""1"":2,""2"":0}},{""1"":0,""2"":0,""3"":3},{""1"":1,""2"":0,""4"":1}},""8"":{""1"":{""1"":2,""2"":0,""5"":{""1"":2,""2"":0}},{""1"":0,""2"":0,""3"":3},{""1"":1,""2"":0,""4"":1}},""9"":1,""10"":1,""11"":4,""15"":""Calibri"",""16"":12}' data-sheets-value=""{&quot;1&quot;:2,&quot;2&quot;:&quot;Porto portugais ou \nShiraz rouge d'Australie&quot;}"">Porto portugais, ce vin plutôt sucré et fruité. Vous pouvez aussi opter pour le Shiraz rouge d’Australie qui séduit un bon nombre de personnes par sa texture fine et ses arômes de fruits et d’épices.</span>","['Cantal AOP Entre-Deux fermier', 'Etivaz AOP', 'Gruyère Suisse d’Alpage AOP 12 Mois']", Pâte pressée non cuite., Odeur bouquetée légère., Saveur prononcée faiblement relevée., Texture ferme et friable.
Cheddar Little Black Bomber,Vache,Pressée non cuite,Royaume-Uni ,Le cheddar Little Black Bomber se marie parfaitement avec un vin rouge tel qu’un Porto portugais ou un Shiraz Rouge d’Australie.,"['Gouda Fermier Vieux 12-18 Mois', 'Tomme du Jura', 'Tome des Bauges AOP', 'St-Nectaire Fermier AOP']", Jaune pâle, Odeur légèrement bouquetée, Saveur faiblement relevée, Texture ferme et souple
Chèvre cendré de Cocumont,Chèvre,Molle à croûte naturelle,Nouvelle Aquitaine ,Le Crottin de Cocumont cendré s’accompagne d’un Vin blanc sec tel qu’un Côtes de Duras blanc ou un Barsac blanc liquoreux.,"['Tomme de Brebis des Pyrénées', 'Selles-sur-cher AOP fermier', 'Saint Marcellin fermier IGP', 'Chabichou du Poitou AOP']"," Croûte cendré, coupe lisse", Odeur de noisette, Doux en bouche, Pâte ferme mais tendre
Chevrillon,Chèvre,Molle à croûte naturelle,Nouvelle Aquitaine ,"Le Chevrillon est souvent consommé en fin de repas, ou chaud sur des croûtons., Il se déguste onctueux ou très sec, accompagné de vins de sa région, un vin blanc tel qu’un Cheverny, ou une bière ambrée légèrement torréfiée. Nous vous conseillons également l’accord avec la bière “L’Amalthée” de la Brasserie Lebbe !","['Tomme de Brebis des Pyrénées', 'Pouligny-Saint-Pierre AOP fermier', 'Bleu de Chèvre', 'Selles-sur-cher AOP fermier']", Croûte bien fine et régulière avec moisissures superficielles gris−bleutées., Odeur de champignon. Légère moisissure, goût prononcé de lait de chèvre, Pâte ferme et homogène
Coeur cendré,Chèvre,Pâte molle à croûte naturelle,Nouvelle Aquitaine ,"Le cœur cendré s’accompagne d’un vin blanc sec, tel qu’un Pouilly Fumé. ","['Pouligny-Saint-Pierre AOP fermier', 'Saint Marcellin fermier IGP', 'Valençay AOP fermier', 'Chabichou du Poitou AOP']", Pâte molle sur laquelle se développe une flore homogène et bien blanche, caprin, La cendre végétale apporte une nuance subtile à la douce saveur caprine. Gout frais et doux de chèvre qui peut se renforcer en poussant un peu plus l’affinage., Texture de la pâte plutôt ferme avec une croûte crémeuse
Coeur d’Alvignac,Chèvre,Pâte molle à croûte naturelle,Occitanie,Le coeur de chèvre se déguste accompagné d’un vin blanc tel qu’un Gaillac AOP.,"['Selles-sur-cher AOP fermier', 'Chabichou du Poitou AOP', 'Bouton de Culotte fermier', 'Calisson cendré de chèvre']"," Pâte très fine, souple, avec une couleur ivoire", odeur caprine, onctueux et doux en bouche, crémeux
Cœur de chèvre,Chèvre,Pâte molle à croûte naturelle,Nouvelle Aquitaine ,"Le coeur de chèvre se déguste onctueux, moelleux ou sec, accompagné de vins blancs de sa région, tel qu’un Bergerac.","['Sainte-Maure de Touraine AOP', 'Pouligny-Saint-Pierre AOP fermier', 'Saint-Félicien fermier', 'Selles-sur-cher AOP fermier']"," Pâte très fine, couleur ivoire", odeur caprine," Saveur douce avec une pointe de poivre, frais en bouche", Pâte souple à crémeuse
Cœur de Savoie,Vache,Pressée non cuite,Auvergne_Rhône-Alpes ,Le coeur de Savoie s’accompagne d’un Vin blanc d’Arbois.,"['Parmesan DOP', 'Saint-Félicien fermier', 'Fourme d’Ambert AOP', 'Reblochon Fermier AOP entier']", croûte marron-orangé, lactique, Très fruité et sans amertume avec une pâte fondante, Texture ferme
Cœur Gourmand Figue,Chèvre,Molle à croûte naturelle,Nouvelle Aquitaine ,"Malgré son goût mariant le sucré et le salé, le Cœur gourmand figue est aussi un fromage qui se déguste avec un bon vin. Ainsi, un vin blanc doux et parfumé permet de ressortir toutes les saveurs de votre fromage, notamment celles de la préparation de figue. Vous pouvez opter pour un Maury ambré, mais un blanc de Gaillac peut également se marier avec le Cœur gourmand figue.",['Crottin de Chavignol AOP'],,, De la finesse du fromage de chèvre à la gourmandise d’une préparation à la figue. Légèrement salée. Mélange sucré/salé., Texture fondante
Colombier des Aillons,Vache,Pressée non cuite,Auvergne_Rhône-Alpes ,Le colombier des Aillons doit être accompagné d’un vin blanc tel qu’un Chasselas de Moissac blanc AOC.,"['Calisson cendré de chèvre', 'Tome des Bauges AOP', 'Bouton de Culotte fermier', 'St-Nectaire Fermier AOP']", Croûte marron-orangée., Odeur forte et animale., Gout puissant avec un final doux qui penche vers la tomme de chèvre de Savoie.," croûte dure et légèrement céronnée, et une pâte tendre"
Compostelle,Chèvre,Molle à croûte naturelle,Occitanie ,"Conseils de  gustation :  sortir de votre réfrigérateur 1 heure avant de le déguster pour qu’il retrouve son moelleux et sa saveur. Idéal pour égayer un plateau de fromage, il se consomme aussi en salade ou sur des tartines. Il s’allie parfaitement avec les fruits (tomates, abricots, figues) le miel et les fruits secs., Vins d’accompagnement : Le plus bel accord pour accompagner les fromages de chèvre est de choisir les vins blancs secs du cépage Sauvignon comme un Sancerre, un Pouilly fumé ou encore un Menetou Salon.","['Crottin de Chavignol AOP', 'Sainte-Maure de Touraine AOP', 'Selles-sur-cher AOP fermier', 'Bethmale']",,,,
Comté AOP,Vache,Pressée cuite,Bourgogne - Franche-Comté ,"Bon compagnon de table, le comté se consomme avec du bon pain de campagne ou avec des salades. Il se déguste aussi en apéritif sous forme de dés et se plait dans les sandwichs et les recettes de fondue. Côté boisson, le comté s’accorde avec du vin blanc sec de sa région. Il se marie parfaitement avec des Côtes du Jura blanc, un Arbois, une bouteille d’Étoile ou encore un vieux Château-Chalon. Mais il se complète aussi avec des vins hors du Jura tels qu’un Savagnin, un Châteauneuf-du-Pape ou un Chardonnay de Bourgogne. Bien fruité après un long affinage, il s’accompagne fort bien avec du vin rouge comme un Gamay du Beaujolais, un Rosé Marsannay ou un Cabernet Franc de Loire.","['Cantal AOP Entre-Deux fermier', 'Brie de Meaux fermier AOP', 'St-Nectaire Fermier AOP', 'Saint Marcellin fermier IGP']", Peu de trous. La couleur de la pâte varie entre le jaune crème en hiver et le jaune plus soutenu en période de pâturage.,"  Arôme peu puissant, mais riche en nuances."," Saveur douce. Palette d’arômes fruités torréfiés, floraux, végétaux et lactiques.", La pâte avec du corps et souple.
Cosne du Morvan,Chèvre,Molle à croûte naturelle,Bourgogne - Franche-Comté,"Le Cosne du Morvan se déguste avec un vin blanc de bourgogne, tel qu’un Macôn-villages AOP.","['Mothais sur feuille fermier', 'Saint Marcellin fermier IGP', 'Valençay AOP fermier', 'Bouton de Culotte fermier']",croûte légèrement duvetée,Impression de cave en terre battue," fondante, velouté et finalement acide", Texture dense
Côte d’Or,Vache,Molle à croûte mi-fleurie et mi-lavée,Bourgogne - Franche-Comté ,"Les sommeliers affirment que le vin rouge et le fromage Côte d’Or ne s’accordent pas. Selon eux, les fromages à pâte molle ont un goût fort qui détruit les saveurs et la texture du vin rouge. Lorsqu’on veut accorder vins et fromages, les avis varient entre le vin blanc et le vin rouge., Vous êtes un grand amateur de vin rouge ? Pour apprécier le fromage Côte d’Or, vous pouvez le déguster avec un Beaujolais Villages ou encore un IGP du Pays d’Oc. Quoi de mieux qu’une bonne combinaison entre un vin audacieux et du fromage aussi intense que le Côte d’Or ?","['Vacherin – Mont d’Or AOP (Boite d’environ 500g)', 'Munster fermier AOP 1/2', 'Brillat-Savarin IGP', 'Camembert de Normandie AOP']",,," Texture crémeuse sous croûte, doux et équilibré. Cœur ferme et friable.", Pâte molle à croûte mi-lavée et mi-fleurie.
Coulommiers,Vache,Molle à croûte fleurie,Ile de France,"Le Coulommiers peut se déguster à tout moment. Il s’accompagne de vins rouges légers comme le Pomerol, le Gamay de Touraine, le Pinot noir d’Alsace… Du vin blanc sec type Petit Chablis sera également un accompagnement parfait avec le Coulommiers.","['Bethmale', 'Morbier AOP 100jours', 'Brillat-Savarin IGP', 'Camembert de Normandie AOP']", croûte duvetée de blanc, Champignon et sous-bois, fine saveur de noisette, consistance onctueuse et bien souple
Couronne des 3 Seigneurs,Brebis,Molle à croûte naturelle,Occitanie ,"Pour apprécier l’onctuosité et l’acidité de la Couronne des 3 seigneurs, un vin blanc sec comme un Sauvignon blanc, un Sancerre, un Vouvray, un Montlouis ou encore un Chablis, fera parfaitement l’affaire.","['Chabichou du Poitou AOP', 'Mothais sur feuille fermier', 'Rocamadour AOP Fermier', 'Sainte-Maure de Touraine AOP']", Croûte jaune, Odeur prononcée de brebis , goût affirmé, Pâte souple et moelleuse
Couronne des 4 Montagnes,Vache,Molle à croûte naturelle,Auvergne_Rhône-Alpes ,A déguster avec un vin rouge tel qu’un Beaujolais Rouge.,"['Chabichou du Poitou AOP', 'Abondance AOP', 'Valençay AOP fermier', 'Buchette de Chèvre cendrée']", Croûte fine et blanche ou jaune pâle, Odeur florale, Légèrement noiseté et salé," Souple, onctueuse et crémeuse qui durcit avec l’affinage"
Couronne lochoise,Chèvre,Molle à croûte naturelle,Centre-Val de Loire ,"La Couronne Lochoise se déguste onctueux ou sec, accompagné de vins de sa région, tel qu’un sancerre blanc ou Rouge.","['Pouligny-Saint-Pierre AOP fermier', 'Crottin de Chavignol AOP', 'Calisson cendré de chèvre', 'Buchette de Chèvre cendrée']", croûte légèrement cendrée, Arôme lactique," Gout d’une pâte beurrée légèrement salée, mais fort en bouche", ferme mais légèrement onctueuse
Crémeux d’Ossau,Vache,Pressée non cuite,Nouvelle Aquitaine ,Le Moelleux s’accompagne parfaitement avec un Gaillac rouge ou un Jurançon blanc.,"['Tomme d’Auvergne Mitée', 'Tomme du Jura', 'Tomme de Brebis des Pyrénées', 'St-Nectaire Fermier AOP']", Croûte orangée, Odeur de fumé, Frais en bouche, Texture moelleuse
Crémeux du Jura,Vache,Molle à croûte lavée,Bourgogne - Franche-Comté,"Le Crémeux du Jura se savoure froid ou chaud, souvent en fin de repas., Il s’accompagne très bien de vins rouges comme le Jura ou le Saint-Nicolas de Bourgueil.","['St-Nectaire Fermier AOP', 'Herve à la Bière', 'Maroilles fermier AOP 1/2', 'Beaufort chalet alpage AOP']", Croûte blanche-marron, Odeur de résineux, Gout franc et fruité aux saveurs de sous-bois, Pâte souple et crémeuse
Crott’Indre,Chèvre,Molle à croûte naturelle,Centre-Val de Loire ,Le crott’Indre se déguste accompagné de vins blancs tel qu’un Sancerre blanc.,"['Saint-Félicien fermier', 'Crottin de Chavignol AOP', 'Bleu de Chèvre', 'Bouton de Culotte fermier']", Blanc (frais) ; légères moisissures verte après quelques jours d’affinage, Arôme très subtilement caprin, légère amertume, Pâte “fraiche” et “dense”
Crottin au poivre,Chèvre,Molle à croûte naturelle,Nouvelle Aquitaine ,Le crottin au poivre se déguste accompagné de vins blancs tel qu’un Sauvignon blanc.,"['Pouligny-Saint-Pierre AOP fermier', 'Saint-Félicien fermier', 'Valençay AOP fermier', 'Crottin de Chavignol AOP']", croûte recouverte d’une légère moisissure et de grain de poivre, Odeur caprine mélangé au poivre qui pique légèrement le nez, fort goût caprin renforcé par le poivre, Pâte souple et crémeux
Crottin blanc,Chèvre,Molle à croûte naturelle,Nouvelle Aquitaine ,Le Crottin blanc s’accompagne d’un Vin blanc sec tel qu’un Sancerre blanc.,"['Crottin de Chavignol AOP', 'Valençay AOP fermier', 'Saint Marcellin fermier IGP', 'Tomme de Brebis des Pyrénées']", Croûte blanche et lisse, Odeur de noisette, goût de noisette et grande fraicheur, Pâte ferme et tendre à la fois
Crottin cendré,Chèvre,Molle à croûte naturelle,Nouvelle Aquitaine ,Le Crottin de Cocumont cendré s’accompagne d’un Vin blanc sec tel qu’un AOC Sancerre.,"['Bleu de Chèvre', 'Selles-sur-cher AOP fermier', 'Calisson cendré de chèvre', 'Saint-Félicien fermier']", Croûte cendré, Odeur de noisette, frais et doux de chèvre qui peut se renforcer en poussant un peu l’affinage. La cendre végétale apporte une nuance subtile à la douce saveur caprine, Pâte ferme et tendre à la fois
Crottin de Chavignol,Chèvre,Molle à croûte naturelle,Centre-Val de Loire ,"Consommé en fin de repas comme beaucoup de fromages, le Crottin de Chavignol est apprécié dans de nombreuses circonstances. Dans le Sancerrois, il reste le casse−croûte favori du vigneron et du paysan. Suivant les goûts, on peut le manger onctueux ou très sec, avec alors un goût confirmé apprécié des amateurs., Il entre dans de nombreuses recettes régionales. Essayez−le grillé ou macéré dans du vin blanc., Il s’accompagne parfaitement d’un vin de Sancerre, blanc ou rouge, d’un Pouilly fumé, ou encore d’un Sauvignon de Saint−Bris, qui sont des vins issus du même terroir.","['Chabichou du Poitou AOP', 'Saint-Félicien fermier', 'Buchette de Chèvre cendrée', 'Pouligny-Saint-Pierre AOP fermier']"," Croûte à fleur bleue ou blanche, coupe lisse. Pâte blanche.", Légère odeur caprine., Saveur de chèvre ," Pâte ferme et homogène, pouvant être cassante après un affinage prolongé."
Crottin de Cocumont,Chèvre,Molle à croûte naturelle,Nouvelle Aquitaine ,"Le Crottin Fermier de Cocumont s’accompagne très bien d’un Vin sec, Côtes de Duras.","['Saint-Félicien fermier', 'Buchette de Chèvre cendrée', 'Saint Marcellin fermier IGP', 'Sainte-Maure de Touraine AOP']"," Croûte blanche, coupe lisse", Noisette, Douceur en bouche, Pâte ferme
Crottin du Viornay,Chèvre,Molle à croûte naturelle,Centre-Val de Loire,Le Crottin du Viornay s’accompagne très bien d’un Vin blanc de Touraine.,"['Calisson cendré de chèvre', 'Saint Marcellin fermier IGP', 'Rocamadour AOP Fermier', 'Selles-sur-cher AOP fermier']"," Croûte à fleur bleue ou blanche, coupe lisse", Noisette," Saveur de chèvre très caractéristique, un peu salé"," Pâte ferme et homogène, pouvant être cassante après un affinage prolongé"
Crottin villageois fermier,Chèvre,Molle à croûte naturelle,Nouvelle Aquitaine ,Le Crottin Villageois fermier s’accompagne d’un Vin blanc sec tel qu’un Valençay.,"['Valençay AOP fermier', 'Selles-sur-cher AOP fermier', 'Tomme de Brebis des Pyrénées', 'Crottin de Chavignol AOP']", Flore naturellement ondulée, Odeur de noisette, goût lactique prononcé, pâte fondante
Curé Nantais,Vache,Molle à croûte lavée,Pays de la Loire ,"Le Curé Nantais s’accompagne d’un vin rouge tel qu’un Beaujolais, un Saint-Émilion, un Fronsac, un Saint-Estèphe ou encore un Lussac-Saint-Emillion. Une autre possibilité est de le déguster avec un vin rouge sec comme un Moulin-à-Vent.","['Tête de Moine entière', 'Raclette Fumée', 'Brillat-Savarin IGP', 'Saint Marcellin fermier IGP']"," forme carré, croûte lisse et orangée", Odeur forte, fermentation, Texture souple et collante
