name,milk,crust,origin,senses,pairings,similarities
Chèvre cendré de Cocumont,Chèvre,Molle à croûte naturelle,Provenance : Nouvelle AquitaineProducteur : Jean-François BANDET% Matière Grasse/Poids Total : MGNPLait : Lait cru de chèvre,"['Oeil : Croûte cendré, coupe lisse', 'Nez : Odeur de noisette', 'Gout : Doux en bouche', 'Toucher : Pâte ferme mais tendre']",[<p>Le Crottin de Cocumont cendré s’accompagne d’un Vin blanc sec tel qu’un Côtes de Duras blanc ou un Barsac blanc liquoreux.</p>],"['Tomme de Brebis des Pyrénées', 'Selles-sur-cher AOP fermier', 'Saint Marcellin fermier IGP', 'Chabichou du Poitou AOP']"
Chevrillon,Chèvre,Molle à croûte naturelle,Provenance : Nouvelle AquitaineProducteur : Pierre LebbeLait : Lait cru de chèvre,"['Oeil : Croûte bien fine et régulière avec moisissures superficielles gris−bleutées.', 'Nez : Odeur de champignon. Légère moisissure', 'Gout : goût prononcé de lait de chèvre', 'Toucher : Pâte ferme et homogène']","[<p style=""text-align: justify;"">Le Chevrillon est souvent consommé en fin de repas, ou chaud sur des croûtons.</p>, <p style=""text-align: justify;"">Il se déguste onctueux ou très sec, accompagné de vins de sa région, un vin blanc tel qu’un Cheverny, ou une bière ambrée légèrement torréfiée. Nous vous conseillons également l’accord avec la bière “L’Amalthée” de la Brasserie Lebbe !</p>]","['Tomme de Brebis des Pyrénées', 'Pouligny-Saint-Pierre AOP fermier', 'Bleu de Chèvre', 'Selles-sur-cher AOP fermier']"
Coeur cendré,Chèvre,Pâte molle à croûte naturelle,Provenance : Nouvelle AquitaineProducteur : Johnny Blanc% Matière Grasse/Poids Total : 20 %Lait : Lait cru de chèvre,"['Œil : Pâte molle sur laquelle se développe une flore homogène et bien blanche', 'Nez : caprin', 'Goût : La cendre végétale apporte une nuance subtile à la douce saveur caprine. Goût frais et doux de chèvre qui peut se renforcer en poussant un peu plus l’affinage.', 'Toucher : Texture de la pâte plutôt ferme avec une croûte crémeuse']","[<p>Le cœur cendré s’accompagne d’un vin blanc sec, tel qu’un Pouilly Fumé. </p>]","['Pouligny-Saint-Pierre AOP fermier', 'Saint Marcellin fermier IGP', 'Valençay AOP fermier', 'Chabichou du Poitou AOP']"
Coeur d’Alvignac,Chèvre,Pâte molle à croûte naturelle,Provenance : Occitanie% Matière Grasse/Poids Total : 20 %Lait : Lait cru de chèvre,"['Oeil : Pâte très fine, souple, avec une couleur ivoire', 'Nez : odeur caprine', 'Gout : onctueux et doux en bouche', 'Toucher : crémeux']",[<p>Le coeur de chèvre se déguste accompagné d’un vin blanc tel qu’un Gaillac AOP.</p>],"['Selles-sur-cher AOP fermier', 'Chabichou du Poitou AOP', 'Bouton de Culotte fermier', 'Calisson cendré de chèvre']"
Cœur de chèvre,Chèvre,Pâte molle à croûte naturelle,Provenance : Nouvelle AquitaineProducteur : Monique VALENTI% Matière Grasse/Poids Total : 25 %Lait : Lait cru de chèvreParticularité : Fermier,"['Oeil : Pâte très fine, couleur ivoire', 'Nez : odeur caprine', 'Gout : Saveur douce avec une pointe de poivre, frais en bouche', 'Toucher : Pâte souple à crémeuse']","[<p>Le coeur de chèvre se déguste onctueux, moelleux ou sec, accompagné de vins blancs de sa région, tel qu’un Bergerac.</p>]","['Sainte-Maure de Touraine AOP', 'Pouligny-Saint-Pierre AOP fermier', 'Saint-Félicien fermier', 'Selles-sur-cher AOP fermier']"
Cœur de Savoie,Vache,Pressée non cuite,Provenance : Auvergne_Rhône-AlpesProducteur : Fruitières ChabertLait : Lait cru de vache,"['Oeil : croûte marron-orangé', 'Nez : lactique', 'Gout : Très fruité et sans amertume avec une pâte fondante', 'Toucher : Texture ferme']",[<p>Le coeur de Savoie s’accompagne d’un Vin blanc d’Arbois.</p>],"['Parmesan DOP', 'Saint-Félicien fermier', 'Fourme d’Ambert AOP', 'Reblochon Fermier AOP entier']"
Cœur Gourmand Figue,Chèvre,Molle à croûte naturelle,Provenance : Nouvelle AquitaineLait : Lait pasteurisé de ChèvreProducteur : Fromagerie du Chêne Vert% Matière Grasse/Poids Total : 12 %,"['Goût : De la finesse du fromage de chèvre à la gourmandise d’une préparation à la figue. Légèrement salée. Mélange sucré/salé.', 'Toucher : Texture fondante']","[<p>Malgré son goût mariant le sucré et le salé, le Cœur gourmand figue est aussi un fromage qui se déguste avec un bon vin. Ainsi, un vin blanc doux et parfumé permet de ressortir toutes les saveurs de votre fromage, notamment celles de la préparation de figue. Vous pouvez opter pour un Maury ambré, mais un blanc de Gaillac peut également se marier avec le Cœur gourmand figue.</p>]",['Crottin de Chavignol AOP']
Colombier des Aillons,Vache,Pressée non cuite,"Provenance : Auvergne_Rhône-AlpesLait : Lait cru de chèvre, Lait cru de vache","['Oeil : Croûte marron-orangée.', 'Nez : Odeur forte et animale.', 'Goût : Goût puissant avec un final doux qui penche vers la tomme de chèvre de Savoie.', 'Toucher : croûte dure et légèrement céronnée, et une pâte tendre']",[<p>Le colombier des Aillons doit être accompagné d’un vin blanc tel qu’un Chasselas de Moissac blanc AOC.</p>],"['Calisson cendré de chèvre', 'Tome des Bauges AOP', 'Bouton de Culotte fermier', 'St-Nectaire Fermier AOP']"
Compostelle,Chèvre,Molle à croûte naturelle,Provenance : OccitanieProducteur : Etoile du QuercyLait : Lait cru de chèvre,"['Oeil :', 'Nez :', 'Gout :', 'Toucher :']","[<p class=""aLF-aPX-K0-aPE aLF-aPX-aLK-ayr-auR"" style=""text-align: justify;"">Conseils de  gustation :  sortir de votre réfrigérateur 1 heure avant de le déguster pour qu’il retrouve son moelleux et sa saveur. Idéal pour égayer un plateau de fromage, il se consomme aussi en salade ou sur des tartines. Il s’allie parfaitement avec les fruits (tomates, abricots, figues) le miel et les fruits secs.</p>, <p class=""aLF-aPX-K0-aPE aLF-aPX-aLK-ayr-auR"" style=""text-align: justify;"">Vins d’accompagnement : Le plus bel accord pour accompagner les fromages de chèvre est de choisir les vins blancs secs du cépage Sauvignon comme un Sancerre, un Pouilly fumé ou encore un Menetou Salon.</p>]","['Crottin de Chavignol AOP', 'Sainte-Maure de Touraine AOP', 'Selles-sur-cher AOP fermier', 'Bethmale']"
Comté AOP,Vache,Pressée cuite,Provenance : Bourgogne - Franche-ComtéLabel : Appellation d'Origine Protégée AOP% Matière Grasse/Poids Total : 30 %Lait : Lait cru de vacheProducteur : Marcel PETITE,"['Oeil : Peu de trous. La couleur de la pâte varie entre le jaune crème en hiver et le jaune plus soutenu en période de pâturage.', 'Nez :  Arôme peu puissant, mais riche en nuances.', 'Gout : Saveur douce. Palette d’arômes fruités torréfiés, floraux, végétaux et lactiques.', 'Toucher : La pâte avec du corps et souple.']","[<p>Bon compagnon de table, le comté se consomme avec du bon pain de campagne ou avec des salades. Il se déguste aussi en apéritif sous forme de dés et se plait dans les sandwichs et les recettes de fondue. Côté boisson, le comté s’accorde avec du vin blanc sec de sa région. Il se marie parfaitement avec des Côtes du Jura blanc, un Arbois, une bouteille d’Étoile ou encore un vieux Château-Chalon. Mais il se complète aussi avec des vins hors du Jura tels qu’un Savagnin, un Châteauneuf-du-Pape ou un Chardonnay de Bourgogne. Bien fruité après un long affinage, il s’accompagne fort bien avec du vin rouge comme un Gamay du Beaujolais, un Rosé Marsannay ou un Cabernet Franc de Loire.</p>]","['Cantal AOP Entre-Deux fermier', 'Brie de Meaux fermier AOP', 'St-Nectaire Fermier AOP', 'Saint Marcellin fermier IGP']"
Cosne du Morvan,Chèvre,Molle à croûte naturelle,Provenance : Bourgogne - Franche-Comté% Matière Grasse/Poids Total : 22 %Lait : Lait cru de chèvreProducteur : Ferme du Port AubryParticularité : Fermier,"['Oeil :croûte légèrement duvetée', 'Nez :Impression de cave en terre battue', 'Goût : fondante, velouté et finalement acide', 'Toucher : Texture dense']","[<p style=""text-align: justify;"">Le Cosne du Morvan se déguste avec un vin blanc de bourgogne, tel qu’un Macôn-villages AOP.</p>]","['Mothais sur feuille fermier', 'Saint Marcellin fermier IGP', 'Valençay AOP fermier', 'Bouton de Culotte fermier']"
Côte d’Or,Vache,Molle à croûte mi-fleurie et mi-lavée,Provenance : Bourgogne - Franche-ComtéProducteur : Fromagerie Delin% Matière Grasse/Poids Total : 27 %Lait : Lait pasteurisé de Vache,"['Goût : Texture crémeuse sous croûte, doux et équilibré. Cœur ferme et friable.', 'Toucher : Pâte molle à croûte mi-lavée et mi-fleurie.']","[<p>Les sommeliers affirment que le vin rouge et le fromage Côte d’Or ne s’accordent pas. Selon eux, les fromages à pâte molle ont un goût fort qui détruit les saveurs et la texture du vin rouge. Lorsqu’on veut accorder vins et fromages, les avis varient entre le vin blanc et le vin rouge.</p>, <p>Vous êtes un grand amateur de vin rouge ? Pour apprécier le fromage Côte d’Or, vous pouvez le déguster avec un Beaujolais Villages ou encore un IGP du Pays d’Oc. Quoi de mieux qu’une bonne combinaison entre un vin audacieux et du fromage aussi intense que le Côte d’Or ?</p>]","['Vacherin – Mont d’Or AOP (Boite d’environ 500g)', 'Munster fermier AOP 1/2', 'Brillat-Savarin IGP', 'Camembert de Normandie AOP']"
Coulommiers,Vache,Molle à croûte fleurie,Provenance : Ile de France% Matière Grasse/Poids Total : 20 %Lait : Lait cru de vache,"['Oeil : croûte duvetée de blanc', 'Nez : Champignon et sous-bois', 'Gout : fine saveur de noisette', 'Toucher : consistance onctueuse et bien souple']","[<p>Le Coulommiers peut se déguster à tout moment. Il s’accompagne de vins rouges légers comme le Pomerol, le Gamay de Touraine, le Pinot noir d’Alsace… Du vin blanc sec type Petit Chablis sera également un accompagnement parfait avec le Coulommiers.</p>]","['Bethmale', 'Morbier AOP 100jours', 'Brillat-Savarin IGP', 'Camembert de Normandie AOP']"
Couronne des 3 Seigneurs,Brebis,Molle à croûte naturelle,Provenance : OccitanieLait : Lait thermisé de brebisProducteur : Fromagerie Fromabon,"['Œil : Croûte jaune', 'Nez : Odeur prononcée de brebis ', 'Goût : goût affirmé', 'Toucher : Pâte souple et moelleuse']","[<p>Pour apprécier l’onctuosité et l’acidité de la Couronne des 3 seigneurs, un vin blanc sec comme un Sauvignon blanc, un Sancerre, un Vouvray, un Montlouis ou encore un Chablis, fera parfaitement l’affaire.</p>]","['Chabichou du Poitou AOP', 'Mothais sur feuille fermier', 'Rocamadour AOP Fermier', 'Sainte-Maure de Touraine AOP']"
Couronne des 4 Montagnes,Vache,Molle à croûte naturelle,Provenance : Auvergne_Rhône-AlpesProducteur : Fermes du Sabot% Matière Grasse/Poids Total : 23 %Lait : Lait cru de vache,"['Oeil : Croûte fine et blanche ou jaune pâle', 'Nez : Odeur florale', 'Gout : Légèrement noiseté et salé', 'Toucher : Souple, onctueuse et crémeuse qui durcit avec l’affinage']","[<p style=""text-align: justify;"">A déguster avec un vin rouge tel qu’un Beaujolais Rouge.</p>]","['Chabichou du Poitou AOP', 'Abondance AOP', 'Valençay AOP fermier', 'Buchette de Chèvre cendrée']"
Couronne lochoise,Chèvre,Molle à croûte naturelle,Provenance : Centre-Val de LoireProducteur : Fromagerie Thibaut Gourinel - Le Cabrett du Viornay% Matière Grasse/Poids Total : 25 %Lait : Lait cru de chèvre,"['Oeil : croûte légèrement cendrée', 'Nez : Arôme lactique', 'Gout : Goût d’une pâte beurrée légèrement salée, mais fort en bouche', 'Toucher : ferme mais légèrement onctueuse']","[<p>La Couronne Lochoise se déguste onctueux ou sec, accompagné de vins de sa région, tel qu’un sancerre blanc ou Rouge.</p>]","['Pouligny-Saint-Pierre AOP fermier', 'Crottin de Chavignol AOP', 'Calisson cendré de chèvre', 'Buchette de Chèvre cendrée']"
Crémeux d’Ossau,Vache,Pressée non cuite,Provenance : Nouvelle AquitaineProducteur : Fromagerie EugèneLait : Lait cru de vache,"['Oeil : Croûte orangée', 'Nez : Odeur de fumé', 'Gout : Frais en bouche', 'Toucher : Texture moelleuse']",[<p>Le Moelleux s’accompagne parfaitement avec un Gaillac rouge ou un Jurançon blanc.</p>],"['Tomme d’Auvergne Mitée', 'Tomme du Jura', 'Tomme de Brebis des Pyrénées', 'St-Nectaire Fermier AOP']"
Crémeux du Jura,Vache,Molle à croûte lavée,Provenance : Bourgogne - Franche-Comté% Matière Grasse/Poids Total : 22 %Lait : Lait pasteurisé de Vache,"['Oeil : Croûte blanche-marron', 'Nez : Odeur de résineux', 'Gout : Goût franc et fruité aux saveurs de sous-bois', 'Toucher : Pâte souple et crémeuse']","[<p>Le Crémeux du Jura se savoure froid ou chaud, souvent en fin de repas.</p>, <p>Il s’accompagne très bien de vins rouges comme le Jura ou le Saint-Nicolas de Bourgueil.</p>]","['St-Nectaire Fermier AOP', 'Herve à la Bière', 'Maroilles fermier AOP 1/2', 'Beaufort chalet alpage AOP']"
Crott’Indre,Chèvre,Molle à croûte naturelle,Provenance : Centre-Val de LoireProducteur : Ferme de PoumouéLait : Lait cru de chèvreParticularité : Fermier,"['Oeil : Blanc (frais) ; légères moisissures verte après quelques jours d’affinage', 'Nez : Arôme très subtilement caprin', 'Goût : légère amertume', 'Toucher : Pâte “fraiche” et “dense”']","[<p style=""text-align: justify;"">Le crott’Indre se déguste accompagné de vins blancs tel qu’un Sancerre blanc.</p>]","['Saint-Félicien fermier', 'Crottin de Chavignol AOP', 'Bleu de Chèvre', 'Bouton de Culotte fermier']"
Crottin au poivre,Chèvre,Molle à croûte naturelle,Provenance : Nouvelle AquitaineProducteur : Monique VALENTI% Matière Grasse/Poids Total : 25 %Lait : Lait cru de chèvreParticularité : Fermier,"['Oeil : croûte recouverte d’une légère moisissure et de grain de poivre', 'Nez : Odeur caprine mélangé au poivre qui pique légèrement le nez', 'Gout : fort goût caprin renforcé par le poivre', 'Toucher : Pâte souple et crémeux']",[<p>Le crottin au poivre se déguste accompagné de vins blancs tel qu’un Sauvignon blanc.</p>],"['Pouligny-Saint-Pierre AOP fermier', 'Saint-Félicien fermier', 'Valençay AOP fermier', 'Crottin de Chavignol AOP']"
Crottin blanc,Chèvre,Molle à croûte naturelle,Provenance : Nouvelle AquitaineProducteur : Johnny Blanc% Matière Grasse/Poids Total : 20 %Lait : Lait cru de chèvre,"['Oeil : Croûte blanche et lisse', 'Nez : Odeur de noisette', 'Goût : goût de noisette et grande fraicheur', 'Toucher : Pâte ferme et tendre à la fois']",[<p>Le Crottin blanc s’accompagne d’un Vin blanc sec tel qu’un Sancerre blanc.</p>],"['Crottin de Chavignol AOP', 'Valençay AOP fermier', 'Saint Marcellin fermier IGP', 'Tomme de Brebis des Pyrénées']"
Crottin cendré,Chèvre,Molle à croûte naturelle,Provenance : Nouvelle AquitaineProducteur : Johnny Blanc% Matière Grasse/Poids Total : 20 %Lait : Lait cru de chèvre,"['Oeil : Croûte cendré', 'Nez : Odeur de noisette', 'Gout : frais et doux de chèvre qui peut se renforcer en poussant un peu l’affinage. La cendre végétale apporte une nuance subtile à la douce saveur caprine', 'Toucher : Pâte ferme et tendre à la fois']",[<p>Le Crottin de Cocumont cendré s’accompagne d’un Vin blanc sec tel qu’un AOC Sancerre.</p>],"['Bleu de Chèvre', 'Selles-sur-cher AOP fermier', 'Calisson cendré de chèvre', 'Saint-Félicien fermier']"
Crottin de Chavignol,Chèvre,Molle à croûte naturelle,Provenance : Centre-Val de LoireLabel : Appellation d'Origine Protégée AOP% Matière Grasse/Poids Total : 32 %Lait : Lait cru de chèvre,"['Oeil : Croûte à fleur bleue ou blanche, coupe lisse. Pâte blanche.', 'Nez : Légère odeur caprine.', 'Gout : Saveur de chèvre : légère au printemps, plus prononcée en automne. Frais, demi-sec, bleu ou sec : son goût va se corser !', 'Toucher : Pâte ferme et homogène, pouvant être cassante après un affinage prolongé.']","[<p style=""text-align: justify;"">Consommé en fin de repas comme beaucoup de fromages, le Crottin de Chavignol est apprécié dans de nombreuses circonstances. Dans le Sancerrois, il reste le casse−croûte favori du vigneron et du paysan. Suivant les goûts, on peut le manger onctueux ou très sec, avec alors un goût confirmé apprécié des amateurs.</p>, <p style=""text-align: justify;"">Il entre dans de nombreuses recettes régionales. Essayez−le grillé ou macéré dans du vin blanc.</p>, <p style=""text-align: justify;"">Il s’accompagne parfaitement d’un vin de Sancerre, blanc ou rouge, d’un Pouilly fumé, ou encore d’un Sauvignon de Saint−Bris, qui sont des vins issus du même terroir.</p>]","['Chabichou du Poitou AOP', 'Saint-Félicien fermier', 'Buchette de Chèvre cendrée', 'Pouligny-Saint-Pierre AOP fermier']"
Crottin de Cocumont,Chèvre,Molle à croûte naturelle,Provenance : Nouvelle AquitaineProducteur : Jean-François BANDET% Matière Grasse/Poids Total : MGNPLait : Lait cru de chèvre,"['Oeil : Croûte blanche, coupe lisse', 'Nez : Noisette', 'Gout : Douceur en bouche', 'Toucher : Pâte ferme']","[<p>Le Crottin Fermier de Cocumont s’accompagne très bien d’un Vin sec, Côtes de Duras.</p>]","['Saint-Félicien fermier', 'Buchette de Chèvre cendrée', 'Saint Marcellin fermier IGP', 'Sainte-Maure de Touraine AOP']"
Crottin du Viornay,Chèvre,Molle à croûte naturelle,Provenance : Centre-Val de Loire% Matière Grasse/Poids Total : MGNPLait : Lait cru de chèvre,"['Oeil : Croûte à fleur bleue ou blanche, coupe lisse', 'Nez : Noisette', 'Gout : Saveur de chèvre très caractéristique, un peu salé', 'Toucher : Pâte ferme et homogène, pouvant être cassante après un affinage prolongé']",[<p>Le Crottin du Viornay s’accompagne très bien d’un Vin blanc de Touraine.</p>],"['Calisson cendré de chèvre', 'Saint Marcellin fermier IGP', 'Rocamadour AOP Fermier', 'Selles-sur-cher AOP fermier']"
Crottin villageois fermier,Chèvre,Molle à croûte naturelle,Provenance : Nouvelle AquitaineProducteur : Fromagerie Le Villageois% Matière Grasse/Poids Total : 23 %Lait : Lait cru de chèvre,"['Oeil : Flore naturellement ondulée', 'Nez : Odeur de noisette', 'Goût : goût lactique prononcé', 'Toucher : pâte fondante']",[<p>Le Crottin Villageois fermier s’accompagne d’un Vin blanc sec tel qu’un Valençay.</p>],"['Valençay AOP fermier', 'Selles-sur-cher AOP fermier', 'Tomme de Brebis des Pyrénées', 'Crottin de Chavignol AOP']"
Curé Nantais,Vache,Molle à croûte lavée,Provenance : Pays de la LoireProducteur : Fromagerie du Curé Nantais% Matière Grasse/Poids Total : 25 %Poids : 200 grammesLait : Lait cru de vache,"['Oeil: forme carré, croûte lisse et orangée', 'Nez : Odeur forte', 'Goût : fermentation', 'Toucher : Texture souple et collante']","[<p>Le Curé Nantais s’accompagne d’un vin rouge tel qu’un Beaujolais, un Saint-Émilion, un Fronsac, un Saint-Estèphe ou encore un Lussac-Saint-Emillion. Une autre possibilité est de le déguster avec un vin rouge sec comme un Moulin-à-Vent.</p>]","['Tête de Moine entière', 'Raclette Fumée', 'Brillat-Savarin IGP', 'Saint Marcellin fermier IGP']"
Délice à la fleur de sel,Chèvre,Molle à croûte naturelle,Provenance : Nouvelle AquitaineProducteur : Fromagerie du Thouet% Matière Grasse/Poids Total : 30 %Lait : Lait cru de chèvre,"['Oeil : Croûte naturelle blanche', 'Nez : Noisette', 'Gout : Saveur caprine réhaussée par la fleur de sel avec un subtil goût de noisette', 'Toucher : Texture moelleuse']",[<p>Le Délice à la fleur de sel s’accompagne d’un vin charentais tel qu’un Saint-Sornin blanc.</p>],"['Buchette de Chèvre cendrée', 'Sainte-Maure de Touraine AOP', 'Saint Marcellin fermier IGP', 'Saint-Félicien fermier']"
Doux chêne,Chèvre,Molle à croûte fleurie,Provenance : Auvergne_Rhône-AlpesLabel : Appellation d'Origine Contrôlée AOC% Matière Grasse/Poids Total : 22 %Lait : Lait cru de chèvre,"['Oeil:', 'Nez:', 'Gout :', 'Toucher : ']",[<p>Fromage de tous les instants à déguster avec un vin blanc sec et frais type cabardes blanc ou encore avec chardonnay plus souple.</p>],"['Buchette de Chèvre cendrée', 'Fourme d’Ambert AOP', 'Calisson cendré de chèvre', 'Bouton de Culotte fermier']"
Ecir en Aubrac,Vache,Molle à croûte naturelle,Provenance : Occitanie% Matière Grasse/Poids Total : 20 %Lait : Lait cru de vache,"['Oeil : Croûte blanche, légèrement striée', 'Nez : Odeur légère d’herbe fraiche', 'Gout : goût lacté frais', 'Toucher : onctueux et crémeux']","[<p>L’Ecir en Aubrac se déguste à tout moment, sur du pain frais, et s’accompagne avec soit un vin blanc fruité, soit un vin rouge léger tel qu’un Saint-Chinian.</p>]","['Abondance AOP', 'Saint Marcellin fermier IGP', 'Bleu de Gex AOP', 'Chabichou du Poitou AOP']"
Elgines,Chèvre,Molle à croûte naturelle,Provenance : Auvergne_Rhône-AlpesLait : Lait cru de chèvreProducteur : Elisabeth et Patrick MAURYParticularité : Fermier,"['Oeil : Dôme avec le centre affaissé, comme un volcan', 'Nez : Odeur caprine', 'Goût : Goût caprin léger', 'Toucher : Texture onctueuse']","[<p>L’Elgines s’accompagne d’un vin blanc sec, tel qu’un Sancerre.</p>]","['Calisson cendré de chèvre', 'Mothais sur feuille fermier', 'Buchette de Chèvre cendrée', 'Reblochon Fermier AOP entier']"
Emmental,Vache,Molle à croûte lavée,Provenance : Auvergne_Rhône-Alpes% Matière Grasse/Poids Total : 28 %Lait : Lait cru de vacheLabel : Indication Géographique Protégée (IGP),"['Oeil : Couleur avoir à jaune avec des trous en son milieu', 'Nez : douce avec une note de noisette', 'Gout : Saveur agréable avec des arômes subtils, doux et fruité et un léger goût de noisette', 'Toucher : pâte souple et fondante avec une croûte dure et sèche']","[<p>Si vous souhaitez apprécier encore plus votre emmental, dégustez-le avec une bouteille de vin blanc sec à l’instar de :</p>]","['Bleu d’Auvergne Fermier AOP', 'Neufchâtel AOP', 'Brie de Meaux fermier AOP', 'Bleu de Gex AOP']"
Etivaz,Vache,Pressée cuite,Provenance : SuisseLabel : Appellation d'Origine Protégée AOP% Matière Grasse/Poids Total : 30 %Lait : Lait cru de vache,"['Oeil : Jaune pâle', 'Nez : Arôme de fumé', 'Gout : Subtilement fruité agrémenté d’une fine touche de noisette. Goût franc et aromatique. Léger goût de fumé.', 'Toucher : Texture ferme']","[<p>L’Etivaz se consomme, à l’apéro et se marie très bien avec un vin blanc type un Fendant du Valais (Suisse), un Gewurztraminer d’Alsace ou un Chassagne Montrachet (Bourgogne).</p>]","['Camembert de Normandie AOP', 'St-Nectaire Fermier AOP', 'Beaufort chalet alpage AOP', 'Reblochon Fermier AOP entier']"
Feuille du Limousin,Chèvre,Molle à croûte naturelle,Provenance : Nouvelle Aquitaine% Matière Grasse/Poids Total : MGNPLait : Lait cru de chèvreProducteur : EARL Fromagerie de la Ribière,"['Oeil : croûte naturelle, légèrement quadrillée', 'Nez : Odeur légèrement caprine', 'Gout : Saveur légèrement salée et acidulée, goût caprin, pas trop prononcé', 'Toucher : Moelleuse et onctueuse']","[<p>La feuille du Limousin est un fromage de chèvre assez frais, qui s’apprécie autant sur une tartine de pain, que dans une salade. Il se déguste avec un verre de vin blanc, tel qu’un Riesling.</p>]","['Tomme de Brebis des Pyrénées', 'Bleu de Chèvre', 'Saint-Félicien fermier', 'Buchette de Chèvre cendrée']"
Fleur d’Aunis,Vache,Molle à croûte lavée,Provenance : Nouvelle Aquitaine% Matière Grasse/Poids Total : 27 %Lait : Lait pasteurisé de Vache,"['Oeil: Croûte  de couleur ambrée', 'Nez : Parfumé', 'Gout : Notes fruitées et légèrement sulfurées', 'Toucher : Pâte souple et onctueuse']",[<p>La fleur d’Aunis s’accompagne d’un vin blanc tel qu’un Charentais blanc.</p>],"['Vacherin – Mont d’Or AOP (Boite d’environ 500g)', 'St-Nectaire Fermier AOP', 'Tête de Moine entière', 'Neufchâtel AOP']"
Fleur des Alpes,Vache,Pressée cuite,Provenance : Suisse% Matière Grasse/Poids Total : 32 %Lait : Lait thermisé de vache,"['Oeil : Jaune pâle', 'Nez : Noiseté', 'Gout : douce et aromatique, tout en finesse', 'Toucher : Pâte fondante']","[<p>La Fleur des Alpes se consomme en fine lamelle, et s’accompagne très bien avec un verre de vin blanc, tel qu’un AOC Canton de Fribourg-Vully.</p>]","['Fourme d’Ambert AOP', 'Neufchâtel AOP', 'St-Nectaire Fermier AOP', 'Pont l’Evêque AOP entier']"
Fleur du Maquis Corse,Brebis,Molle à croûte naturelle,Provenance : CorseLait : Lait pasteurisé de BrebisProducteur : Provinces du Fromage - Matra% Matière Grasse/Poids Total : 27 %,"['Nez : Très parfumé de ses herbes aromatiques.', 'Toucher : Tendre et ferme à la fois.', 'Goût :  Saveur intense quasi envoutante. ']","[<p>Pour profiter de toute la saveur du Fleur du Maquis, vous devez vous procurer le vin qui se marie le mieux avec ses saveurs intenses quasiment envoutantes. Le Brin d’amour est le plus souvent accompagné d’un vin blanc, qui permet de relever son goût unique. Vous pouvez ainsi opter pour un <span data-sheets-userformat='{""2"":12797,""3"":{""1"":0,""3"":1},""5"":{""1"":[{""1"":2,""2"":0,""5"":{""1"":2,""2"":0}},{""1"":0,""2"":0,""3"":3},{""1"":1,""2"":0,""4"":1}]},""6"":{""1"":[{""1"":2,""2"":0,""5"":{""1"":2,""2"":0}},{""1"":0,""2"":0,""3"":3},{""1"":1,""2"":0,""4"":1}]},""7"":{""1"":[{""1"":2,""2"":0,""5"":{""1"":2,""2"":0}},{""1"":0,""2"":0,""3"":3},{""1"":1,""2"":0,""4"":1}]},""8"":{""1"":[{""1"":2,""2"":0,""5"":{""1"":2,""2"":0}},{""1"":0,""2"":0,""3"":3},{""1"":1,""2"":0,""4"":1}]},""9"":1,""10"":1,""11"":4,""15"":""Calibri"",""16"":12}' data-sheets-value='{""1"":2,""2"":""Côtes du Roussillon Villages Blanc""}'>Côtes du Roussillon Villages Blanc. Il s’agit d’un vin possédant des arômes d’agrumes et de fruits à chair blanche, des senteurs fleuries qui se mélangent très bien avec les herbes sur la croûte du Brin d’amour. </span></p>]","['Saint Marcellin fermier IGP', 'Saint-Félicien fermier']"
Flocon de Savoie,Vache,Molle à croûte naturelle,Provenance : Auvergne_Rhône-AlpesProducteur : Fromagerie Chabert% Matière Grasse/Poids Total : 24 %Lait : Lait pasteurisé de Vache,"['Oeil : croûte fine et duveteuse', 'Nez : léger de champignon', 'Goût : Petit goût de noisette avec une saveur lactique. Doux et léger.', 'Toucher : Pâte moelleuse']","[<p style=""text-align: justify;"">Le flocon de Savoie s’accompagne de vins blancs comme le Mâcon ou un vin rouge léger et fruité.</p>]","['Herve à la Bière', 'Brie de Meaux fermier AOP', 'Cantal AOP Entre-Deux fermier', 'Bleu d’Auvergne Fermier AOP']"
Fontina d’alpage,Vache,Persillée,Provenance : ItalieLait : Lait cru de vache% Matière Grasse/Poids Total : 30 %Label : Appellation d'Origine Protégée AOP,"['Oeil : Jaune or', 'Nez : Parfum noiseté', 'Gout : Goût lactique et herbeux', 'Toucher : Ferme']","[<p>La Fontina se consomme essentiellement à la fin des repas. Il se marie parfaitement aux vins de la région, comme le rosé des Riceys ou un vin blanc de Chablis. Il est aussi très bon en apéritif, découpé en cubes, accompagné d’un Porto ou d’un Champagne.</p>]","['Gruyère Suisse d’Alpage AOP 12 Mois', 'Tête de Moine entière', 'Abondance AOP', 'Cantal AOP Entre-Deux fermier']"
Fougerus,Vache,Molle à croûte fleurie,Provenance : Ile de France% Matière Grasse/Poids Total : 20 %Lait : Lait pasteurisé de Vache,"['Oeil : croûte duvetée de blanc', 'Nez : Champignon et sous-bois', 'Gout : franc et laitier avec des pointes de champignon et de terre dès qu’il devient mâture', 'Toucher : onctueux et souple']",[<p>Le Fougerus est un cousin du coulommiers. Il se déguste avec un vin blanc boisé ou un Champagne fines bulles.</p>],"['Neufchâtel AOP', 'Beaufort chalet alpage AOP', 'Raclette Fumée', 'Bleu de Gex AOP']"
